               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  90,            0.045183,             0.01236,                   0,             0.84092,             0.84211,             0.88667,             0.36164,            0.034671,            0.013468,                   0,           0.0077973,           0.0077973,           0.0077973
                  91,            0.048296,            0.017253,                   0,               0.789,             0.78947,             0.87071,             0.29182,            0.027638,            0.013356,                   0,           0.0077725,           0.0077725,           0.0077725
                  92,            0.047578,            0.018534,                   0,               0.789,             0.78947,             0.87071,             0.29182,            0.027638,            0.013356,                   0,           0.0077478,           0.0077478,           0.0077478
                  93,            0.045087,            0.018878,                   0,               0.789,             0.78947,             0.87071,             0.29182,            0.027638,            0.013356,                   0,            0.007723,            0.007723,            0.007723
                  94,             0.04687,            0.014054,                   0,             0.88234,             0.78936,             0.87932,             0.45984,            0.027802,            0.012824,                   0,           0.0076983,           0.0076983,           0.0076983
                  95,            0.043639,            0.015388,                   0,             0.88234,             0.78936,             0.87932,             0.45984,            0.027802,            0.012824,                   0,           0.0076735,           0.0076735,           0.0076735
                  96,            0.041115,            0.017054,                   0,             0.81758,             0.94369,             0.90713,             0.51075,             0.02436,            0.012779,                   0,           0.0076488,           0.0076488,           0.0076488
                  97,            0.035814,            0.014353,                   0,             0.81758,             0.94369,             0.90713,             0.51075,             0.02436,            0.012779,                   0,            0.007624,            0.007624,            0.007624
                  98,            0.042521,            0.021978,                   0,             0.81758,             0.94369,             0.90713,             0.51075,             0.02436,            0.012779,                   0,           0.0075993,           0.0075993,           0.0075993
                  99,            0.042013,            0.019007,                   0,              0.7486,             0.94058,             0.89555,             0.53142,            0.023363,            0.012345,                   0,           0.0075745,           0.0075745,           0.0075745
                 100,            0.039284,            0.021454,                   0,              0.7486,             0.94058,             0.89555,             0.53142,            0.023363,            0.012345,                   0,           0.0075498,           0.0075498,           0.0075498
                 101,            0.039502,            0.016637,                   0,              0.7486,             0.94058,             0.89555,             0.53142,            0.023363,            0.012345,                   0,            0.007525,            0.007525,            0.007525
                 102,             0.03777,            0.016731,                   0,             0.74964,             0.94564,             0.90675,             0.59431,            0.024576,            0.011653,                   0,           0.0075003,           0.0075003,           0.0075003
                 103,            0.037757,            0.016808,                   0,             0.74964,             0.94564,             0.90675,             0.59431,            0.024576,            0.011653,                   0,           0.0074755,           0.0074755,           0.0074755
                 104,            0.043832,            0.015154,                   0,             0.38074,             0.84136,             0.44478,             0.18538,            0.045555,             0.01024,                   0,           0.0074507,           0.0074507,           0.0074507
                 105,            0.056671,            0.019737,                   0,             0.38074,             0.84136,             0.44478,             0.18538,            0.045555,             0.01024,                   0,            0.007426,            0.007426,            0.007426
                 106,            0.058264,            0.014551,                   0,             0.38074,             0.84136,             0.44478,             0.18538,            0.045555,             0.01024,                   0,           0.0074013,           0.0074013,           0.0074013
                 107,             0.05053,            0.012938,                   0,             0.62459,             0.78947,             0.64903,             0.27802,            0.035226,            0.010713,                   0,           0.0073765,           0.0073765,           0.0073765
                 108,            0.048145,            0.020447,                   0,             0.62459,             0.78947,             0.64903,             0.27802,            0.035226,            0.010713,                   0,           0.0073517,           0.0073517,           0.0073517
                 109,            0.051946,            0.013882,                   0,             0.62459,             0.78947,             0.64903,             0.27802,            0.035226,            0.010713,                   0,            0.007327,            0.007327,            0.007327
                 110,            0.043421,             0.01507,                   0,             0.74949,             0.94737,             0.84146,             0.42002,            0.025987,            0.011071,                   0,           0.0073023,           0.0073023,           0.0073023
                 111,            0.036004,            0.014831,                   0,             0.74949,             0.94737,             0.84146,             0.42002,            0.025987,            0.011071,                   0,           0.0072775,           0.0072775,           0.0072775
                 112,            0.033506,            0.014715,                   0,                   1,             0.94689,                0.97,              0.6215,            0.021498,            0.011159,                   0,           0.0072527,           0.0072527,           0.0072527
                 113,            0.038695,            0.016409,                   0,                   1,             0.94689,                0.97,              0.6215,            0.021498,            0.011159,                   0,            0.007228,            0.007228,            0.007228
                 114,            0.032892,            0.014896,                   0,                   1,             0.94689,                0.97,              0.6215,            0.021498,            0.011159,                   0,           0.0072033,           0.0072033,           0.0072033
                 115,            0.037659,            0.014837,                   0,                   1,              0.8939,             0.96867,             0.51583,            0.022961,            0.011669,                   0,           0.0071785,           0.0071785,           0.0071785
                 116,            0.035976,            0.017807,                   0,                   1,              0.8939,             0.96867,             0.51583,            0.022961,            0.011669,                   0,           0.0071538,           0.0071538,           0.0071538
